Ano,Mês,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
2008,Janeiro,5242,3735,13628,1898,43817,2721,8294,26181,19593,41997,12773,18485,40916,14837,8731,66223,92681,14516,54995.0,183408,60003,29970,58910,12254,13961,31520,14525,895814.0
2008,Fevereiro,5562,3723,13828,1739,40225,2511,7846,25847,18396,41110,12423,17603,36866,13445,8119,60453,86508,13848,47536.0,167955,56290,29011,54736,12062,13522,28761,14212,834137.0
2008,Março,5105,4163,14869,2047,43274,2390,8562,28377,19739,43877,14359,19815,41469,14959,9162,74394,96745,16611,58293.0,188153,63308,31710,61611,13397,16016,33751,16576,942732.0
2008,Abril,5175,4223,14323,2211,44734,2663,8793,29188,19263,45769,15815,20801,45686,17517,9738,80024,99252,16654,59623.0,188980,63368,31495,59890,13124,15480,34080,16585,964454.0
2008,Maio,5148,4471,14904,2415,44894,2740,8751,27669,19030,44941,15456,21183,44966,17140,9324,75255,96742,15850,57523.0,186439,63544,31708,59106,12990,15568,29786,15974,943517.0
2008,Junho,6099,4478,14578,2295,43375,2699,8466,27734,18443,41628,14013,18775,40443,16056,8590,68707,93733,15480,55039.0,186358,62477,32309,60888,13383,15085,28488,15376,914995.0
2008,Julho,7080,4083,14936,2228,42102,2674,7590,27433,19004,41498,13694,19028,42719,14778,8695,75935,95032,15071,55119.0,191029,65374,32942,64579,13603,15150,28751,15099,935226.0
2008,Agosto,7332,3823,14413,2298,42623,2931,8346,27837,19154,39793,13254,18765,42221,14650,8209,75125,93469,15659,54069.0,188355,61044,30849,61252,12686,14483,30948,15648,919236.0
2008,Setembro,6875,4182,13346,2116,43120,2852,8254,28582,19262,40935,13401,18602,41135,14639,7787,74477,95453,15659,53630.0,190610,63104,32316,61948,13317,14952,32218,16040,928812.0
2008,Outubro,6907,4141,12602,2205,41511,3017,8491,27068,19045,39462,12600,17371,40687,14274,7743,71007,97086,15998,53528.0,192319,63403,32539,62243,13340,14449,29253,15609,917898.0
2008,Novembro,6699,3928,12137,2122,39500,2897,7653,25929,18080,36021,12100,16705,38112,13859,7160,64074,89094,14409,47397.0,173541,57897,29345,58598,12329,13244,25739,15052,843621.0
2008,Dezembro,5864,4060,12050,1986,38044,3018,7512,23784,16898,35643,11609,16177,35984,13382,6609,61401,86945,14133,45821.0,164886,55192,29185,55442,11137,12567,24626,14155,808110.0
2009,Janeiro,7062,4053,12585,2224,42604,3110,8202,28154,19666,38793,11039,17425,39522,14142,7333,67406,90567,14931,50676.0,173447,58061,30670,59078,11884,13878,28061,14664,869237.0
2009,Fevereiro,6923,3781,12168,2142,39240,2687,7826,26530,17484,36857,11377,16646,34892,12553,6962,63544,84889,13878,45913.0,167687,56829,28679,52109,11519,12783,26733,14029,816660.0
2009,Março,9130,4519,13891,2525,46754,3299,9172,32689,21947,46459,13923,21219,45562,16373,8932,80844,100890,17414,58203.0,203675,69063,34217,63522,14521,16552,33745,17386,1006426.0
2009,Abril,8414,4274,12228,2256,45663,3236,8587,30362,20394,43941,12981,20330,42262,15566,8149,75632,92884,16350,53518.0,190737,62911,31468,59407,13453,15968,31661,16146,938778.0
2009,Maio,8403,4597,12526,2372,44842,3407,8559,30650,20794,43101,15287,21292,44141,15761,8665,76235,95601,16735,56563.0,196032,65776,33148,61790,13163,15873,31135,16175,962623.0
2009,Junho,7383,3933,13409,2370,43580,3118,8358,29596,20038,41228,14056,18771,40907,14411,7651,70331,92277,16038,55169.0,191089,64052,33285,61258,12980,14763,28794,15310,924155.0
2009,Julho,7883,3784,13490,2646,44142,3085,7957,29855,20593,42048,14779,20219,42051,15377,8039,74655,95650,16447,57262.0,196718,67884,34568,66759,13721,14770,29830,15667,959879.0
2009,Agosto,8154,3018,13704,2609,45945,3354,8380,30659,20026,41283,14826,20202,42913,14542,7956,75574,94881,16837,54207.0,198843,66419,35163,62225,14373,15541,31959,15796,959389.0
2009,Setembro,7984,1921,13038,2534,45252,3197,8132,31532,18988,39806,14816,19656,41950,14651,7551,74521,94522,16091,52420.0,194821,64072,32675,60124,13420,14505,30978,15628,934785.0
2009,Outubro,8235,3912,10455,2312,41540,2809,7994,30419,17893,37580,14239,18547,40335,14859,6495,71200,86281,14485,48185.0,182308,60312,31205,59323,11898,13186,28694,13880,878581.0
2009,Novembro,7148,3480,8368,1932,35074,2043,6595,24104,16437,32035,11530,16852,33795,12822,5496,65127,75828,11617,40706.0,152483,50676,25931,49690,9853,12094,26856,12420,750992.0
2009,Dezembro,4846,2218,2649,1231,16371,1086,3109,13017,11002,20613,6596,11174,14152,7335,3344,40993,46517,5091,24132.0,85247,27200,11938,25662,4572,6408,16972,5918,419393.0
2010,Janeiro,8670,4034,13542,2568,43745,3070,8411,32634,20698,40270,13954,18987,40462,14258,7143,71380,91105,14830,55513.0,187231,61433,30970,59683,13342,15115,32623,15434,921105.0
2010,Fevereiro,7945,3624,12401,2277,42286,2715,8013,29964,18729,37242,13060,17666,36900,13072,6678,66548,87825,14003,49748.0,179941,60456,29943,54080,13084,13939,30627,14567,867333.0
2010,Março,9036,4556,14616,2828,48037,3169,9439,34454,21582,43821,16251,20708,46020,17045,8727,81882,104877,17634,61193.0,216682,73228,35207,64897,16236,16803,35019,17306,1041253.0
2010,Abril,8551,4508,13674,2590,44248,3134,9026,33058,19696,41367,15027,19702,43193,16214,8324,77278,95596,16464,57866.0,198602,65405,32185,60314,13851,15284,32086,16292,963535.0
2010,Maio,8622,4293,13545,2984,46360,3074,8835,34014,21043,44091,15722,21480,47255,16950,8722,81262,98346,16961,59851.0,204531,67439,33375,62529,13625,15543,31381,16707,998540.0
2010,Junho,7861,3963,13197,3028,43746,3159,8130,33077,19208,41069,13979,18716,42126,14394,7280,68596,91795,15656,55026.0,192091,64959,32530,60718,13129,14217,29121,14863,925634.0
2010,Julho,8332,3958,13188,3085,41934,3201,8223,33117,18938,40715,14492,20536,43597,15269,7859,72476,94663,16241,56306.0,193427,66122,33192,63078,13006,14731,28403,15301,943390.0
2010,Agosto,8618,4102,13595,3099,45673,3468,9221,33897,19329,41586,14757,20305,44786,15771,7971,77454,99193,17355,58892.0,205500,67807,34406,64043,14588,15573,32536,16281,989806.0
2010,Setembro,8403,4156,13485,2800,44367,3180,8747,33798,19146,40045,14169,19346,43291,15236,7963,74034,97228,16370,53559.0,195081,66673,32474,59741,14086,15406,32248,15900,950932.0
2010,Outubro,8182,4406,14067,2658,42910,2912,8501,33182,18906,39831,13812,19307,43723,14841,7630,73828,93079,16686,53720.0,191999,64601,32584,60225,13251,14688,29740,15454,934723.0
2010,Novembro,8293,4124,13212,2528,43087,2722,8362,32886,18722,38972,13837,18461,43154,14631,7861,72850,91907,16669,52949.0,191212,65123,32042,58004,12945,14465,29536,14697,923251.0
2010,Dezembro,7930,4054,13308,2382,42265,2654,8151,31223,17772,38040,13310,16706,41392,13296,7366,68990,91365,16581,51701.0,183461,61705,30290,55019,12268,14399,27917,14093,887638.0
2011,Janeiro,7821,4621,13978,2541,44268,2976,8780,35259,20830,41969,13412,18020,42371,13702,7828,74584,94600,17012,56747.0,195391,64083,32379,59554,13317,14846,29938,15321,946148.0
2011,Fevereiro,7785,4129,13488,1984,42044,2789,8440,33794,19506,41111,13922,18316,41933,14193,7001,69851,91208,16649,53878.0,190427,61257,31731,53992,12779,13597,28997,15093,909894.0
2011,Março,8691,4573,15187,2077,46579,3221,9728,35398,20486,44395,15385,20016,46617,15711,7796,78163,99462,18459,57348.0,210100,66609,34864,61470,14153,15193,33829,16675,1002185.0
2011,Abril,8836,4344,14388,2185,42490,3329,9267,33386,19110,41959,14640,17642,44437,14862,7774,75249,95537,17686,58323.0,197926,61681,33265,58049,13631,14825,30013,16468,951302.0
2011,Maio,8274,4859,13665,2620,43492,3258,9323,33579,19198,42245,15025,18251,46261,16345,8530,76744,102114,18703,60871.0,209373,66262,35299,62426,14134,14675,29668,16519,991713.0
2011,Junho,8195,4355,13539,2596,41299,2912,8790,31731,17881,39860,14241,17233,43332,15458,7699,71041,95621,17937,56275.0,193857,60615,33227,61120,13112,14256,27611,15286,929079.0
2011,Julho,7814,4311,13345,2568,38734,3034,8202,32043,17827,38608,14373,16901,43160,14890,7561,71511,94660,17398,54035.0,196668,61560,34076,61119,13269,13854,28496,15199,925216.0
2011,Agosto,8681,4304,13716,2735,43303,3119,8985,34748,18489,40896,14860,18036,46440,15677,7944,76614,99679,18382,56792.0,205817,64990,34901,61506,13007,15041,30702,16510,975874.0
2011,Setembro,7918,4234,13051,2837,42302,3204,8966,32711,18449,38911,14023,17281,43321,14870,7407,70909,95030,17041,52078.0,192477,61005,32607,57716,12673,14627,29736,15795,921179.0
2011,Outubro,8245,4118,13756,2702,41776,3185,9133,33697,18418,39467,13936,17136,44263,14897,7703,72356,93911,17286,50810.0,194114,63302,33834,59073,12521,14533,29264,15388,928824.0
2011,Novembro,8254,4148,14317,2669,42089,3121,9509,34656,18330,38308,13718,16932,43250,14029,7971,71318,93533,17411,49151.0,186207,62444,32561,58085,12792,14659,28572,15213,913247.0
2011,Dezembro,7422,4116,11684,2543,40971,2933,9020,32390,17284,37180,12404,16209,41539,13034,7417,69417,91911,16981,47726.0,178120,58458,30738,56091,12211,14248,26054,14322,872423.0
2012,Janeiro,8152,4523,13005,2463,42731,3070,8789,33513,18824,38887,13028,16198,41691,13753,7616,71469,95124,17069,53008.0,191842,60440,33116,60760,12848,14457,27948,15388,919712.0
2012,Fevereiro,7953,3891,12188,2556,40570,2972,8822,31252,17038,35469,13012,15947,39840,13465,7311,66583,90723,16552,48496.0,185540,59159,31893,54893,12835,13941,27870,14774,875545.0
2012,Março,8570,4580,14762,2811,45619,3335,9972,36262,18556,40890,15375,18217,47389,14685,8232,78708,103429,18976,57438.0,211485,67362,35653,62888,14344,16172,30699,16407,1002816.0
2012,Abril,8422,4266,14168,2620,42935,3193,9762,33917,18273,39416,13718,17200,44644,13404,7702,71740,96660,17224,53388.0,195984,63476,33820,58759,13190,15624,28945,15850,938300.0
2012,Maio,8605,4374,14677,3019,43561,3310,9426,35671,19970,41397,14333,18085,47951,14480,8391,76358,104476,18275,58528.0,211133,69054,37703,64642,14494,16457,28566,16604,1003540.0
2012,Junho,8010,4388,13942,2655,38974,3019,8641,32598,18176,37221,13738,16039,43830,13709,7363,70936,96914,17504,53766.0,193117,64125,34799,61756,13281,15125,27102,15540,926268.0
2012,Julho,7819,4724,14254,2529,37408,3342,8407,32815,18298,36632,14783,17009,45405,14503,7392,74568,100370,18380,52893.0,199938,66265,35505,64914,13278,15964,26091,15736,949222.0
2012,Agosto,7880,4443,14198,2660,38620,3343,8851,33904,18594,37310,14258,16822,46839,13886,7538,73694,101160,18380,52893.0,204253,67645,36537,63871,13604,15903,28909,16195,962190.0
2012,Setembro,7321,4485,12872,2338,39379,3135,8494,32476,17861,35005,12059,15525,42961,13643,6679,68576,94764,17337,48910.0,189132,61193,33476,55216,12389,14805,27810,14961,892802.0
2012,Outubro,7448,3774,12735,883,35908,3122,7221,29759,16750,32035,12433,14941,41486,13082,6414,64544,91539,17232,48327.0,191877,62235,31077,54503,10207,14973,26514,13225,864244.0
2012,Novembro,6264,2870,9299,890,29995,2652,6040,23933,14445,26579,10335,13983,34426,11367,5396,53998,73279,13219,37511.0,154366,50379,22479,41861,6778,11632,22000,7862,693838.0
2012,Dezembro,3720,1855,3941,535,16511,1047,3753,14680,9675,16340,5930,9660,18457,7028,3345,31951,44185,7075,22566.0,93378,27509,9452,19889,3143,6834,14222,3908,400589.0
2013,Janeiro,8123,4430,15031,2597,41496,3123,8404,34606,18356,37588,12660,15533,43749,13493,7082,64942,94222.0,16620,52359,191120,61064,33084,60471,13165,15151,28001,15584,912054.0
2013,Fevereiro,8072,3867,12385,2314,38305,2955,8161,30860,16855,34693,11846,14640,38915,11779,6535,59229,87203.0,15323,45907,176079,56383,30297,52406,12453,13818,27249,14411,832940.0
2013,Marï¿½o,9354,4569,13776,2779,43818,3278,9224,34829,18652,39317,14854,17328,44108,14131,7745,68672,99854.0,17944,53090,198950,64057,34460,59976,14291,16113,31102,16515,952786.0
2013,Abril,9352,4513,13867,2710,44692,3422,9186,35371,20031,41649,15429,17730,45814,14460,8086,69299,104530.0,18523,54495,208350,67274,36019,62734,14361,16474,31633,17238,987242.0
2013,Maio,8818,4266,14392,2879,43359,3202,9273,35497,19873,42672,15441,18607,47961,15311,7781,70479,102907.0,18208,55109,202052,64191,35428,61799,14309,15838,30203,16483,976338.0
2013,Junho,8400,4068,13983,3103,40617,3001,8835,32593,18619,37974,14173,17180,44152,14612,7401,67284,99610.0,17091,53531,195258,63385,35313,61952,13552,14996,28486,15579,934748.0
2013,Julho,8895,4358,13753,2902,39326,3128,8638,34185,18527,40017,14652,17469,45097,15321,7471,70497,101317.0,18030,54565,196602,66070,36813,67192,14087,15069,27888,16034,957903.0
2013,Agosto,9254,4402,13523,2867,40702,3271,8772,34973,18003,39778,13868,16934,46107,14084,7516,69085,100595.0,18058,53476,201655,65519,36315,64191,13468,15503,29666,16038,957623.0
2013,Setembro,8940,4311,13174,2827,41392,3247,9105,34829,18259,39375,13735,16134,44928,13937,7443,68408,99156.0,17842,52885,196146,62827,35544,62106,13737,14929,29565,15563,940344.0
2013,Outubro,9568,4631,13560,2830,41766,3510,9295,36080,18400,39318,14261,16577,46722,14271,7419,70674,102114.0,18947,52709,202059,65479,37970,66348,13937,15695,29875,15904,969919.0
2013,Novembro,9482,4299,13226,2650,39842,3172,8605,33898,17181,37454,12679,15369,43007,13334,7200,65394,95122.0,17439,48653,185219,60413,34965,60927,13170,15015,28490,13951,900156.0
2013,Dezembro,9094,4057,12245,2569,38641,3043,8277,32760,16485,36029,12217,14650,40897,12299,6827,62248,93350.0,16486,46230,176560,56084,31506,57322,12495,14186,26931,13897,857385.0
2014,Janeiro,9469,4169,12564,2724,41269,3187,8611,35660,18572,40498,12826,15637,43482,12720,7479,67515,100199.0,17946,53322,195434,60380,34818,63431,13048,14926,28851,14731,933468.0
2014,Fevereiro,8764,4054,11127,2298,39583,2974,8109,33234,17038,38018,12552,14765,41188,12117,7114,63214,96330.0,17280,47782,187957,58769,33348,57961,12332,14431,27349,14553,884241.0
2014,Marï¿½o,9715,4381,12367,2750,43563,3145,8805,36398,18200,40552,13455,16338,44613,12977,7432,68339,101693.0,18123,50874,200002,62324,35662,62697,13768,16263,29595,15985,950016.0
2014,Abril,9807,4632,12653,2630,42443,3259,8781,35738,18000,41531,14079,16333,45495,13161,7390,68963,104762.0,18508,50826,202146,62253,35787,62347,13847,15836,31127,15984,958318.0
2014,Maio,10377,4667,12928,2884,43213,3136,8849,35727,18635,42888,14671,17266,47502,14150,7781,72812,108416.0,19263,54672,209380,65814,37523,65723,14497,16405,31264,16208,996651.0
2014,Junho,9758,4502,12320,2489,39776,2652,8745,33879,17187,39759,13179,15813,44120,13254,6991,65267,100608.0,18024,52537,196338,61720,36734,63142,13587,15718,28599,14863,931561.0
2014,Julho,9830,4462,12944,2870,41218,2969,8361,35399,17368,41223,13526,16693,47266,14165,7039,71900,103715.0,19130,56425,201126,65506,38715,67770,13825,15827,28307,15397,972976.0
2014,Agosto,10099,4339,12999,2796,41455,3093,8863,35744,17514,40626,13156,16569,47346,13936,7502,72058,103692.0,19505,57156,202970,63928,37794,65848,14158,15799,29743,14949,973637.0
2014,Setembro,10146,4024,13696,2788,41701,3194,8809,35563,18337,40679,13366,16869,46956,14177,8106,72319,104571.0,19409,57158,203741,64674,37913,65575,13591,15939,30722,14903,978926.0
2014,Outubro,10043,4540,13899,2742,40646,3181,8843,34926,17401,40697,13414,16719,46933,14147,7990,73288,104760.0,19178,55701,206027,66459,38345,67258,14088,16328,30137,14852,982542.0
2014,Novembro,9769,4347,13206,2704,40219,2725,7975,33229,16408,38049,12712,15505,44500,13372,7735,66742,99197.0,18486,52046,188775,60558,35773,62363,12931,15028,27841,13938,916133.0
2014,Dezembro,9190,4084,12632,2518,37562,2521,7520,31620,15413,36701,12266,14436,42551,12497,6755,62545,95761.0,18098,52065,181454,57375,32890,59247,12708,14158,27571,13096,875234.0
2015,Janeiro,9093,4034,13860,2756,38735,2594,7077,32896,16652,37878,12112,14526,43102,12300,7437,66232,96307.0,18451,55312,195218,58124,34341,62390,12887,14347,28798,13379,910838.0
2015,Fevereiro,8639,3705,12955,2411,35880,2471,6763,31971,15180,34735,11206,13011,39968,11222,7137,59737,89652.0,16889,50179,181722,55879,33013,55800,12255,13745,27522,12577,846224.0
2015,Marï¿½o,9954,4142,15015,2730,42959,3019,7582,39622,18345,42330,14285,16377,48769,14600,8778,75231,110437.0,21029,60327,217964,67768,39243,69235,15252,16725,32542,15473,1029733.0
2015,Abril,9413,4071,14308,2793,41190,2959,7893,37389,18872,42121,14177,16055,46408,13873,8410,69063,103617.0,18965,56218,204396,63979,36843,64832,14286,16198,31375,15838,975542.0
2015,Maio,9914,4091,15143,3062,41785,3062,7517,36215,18417,42559,14252,16214,48317,14738,9093,72068,106205.0,20061,60538,208657,63993,39179,65740,14433,16560,31753,15510,999076.0
2015,Junho,9277,4166,14908,2985,39509,3087,7282,34797,16972,40835,13850,15008,44847,13946,7666,67800,101740.0,19821,58549,200774,64384,38669,65222,13953,15310,29440,14265,959062.0
2015,Julho,9370,4041,14881,3144,38557,3033,6618,35735,17129,40934,14307,15703,46327,14641,8247,72445,100862.0,20667,59027,198805,66434,40134,66400,13632,15644,28801,13966,969484.0
2015,Agosto,9474,4111,14462,3165,39521,3087,7027,35950,17722,40429,13671,15613,45590,13959,8426,70724,99967.0,19926,56648,200842,66013,39297,64238,13719,16043,29025,13829,962478.0
2015,Setembro,9313,4092,14214,2948,38471,3071,6634,34977,17604,38922,13074,15267,42930,13672,7944,69584,99287.0,18550,54913,195356,63135,38584,61163,13037,15722,29004,13008,934476.0
2015,Outubro,8993,3581,13341,1727,35861,2937,5454,34539,16992,36971,11479,14559,41370,13462,6694,66740,94014.0,17956,51285,185311,59748,36130,59068,11261,14994,27947,9933,882347.0
2015,Novembro,7172,2804,10093,1201,30434,2348,3802,28916,15307,30344,9456,11192,36325,11419,5206,58802,80287.0,13403,43556,167477,53268,31726,51095,8928,13246,24188,8117,760112.0
